#: table_doi: 10.17182/hepdata.26965.v1/t6
#: name: Table 6
#: description: Differential cross section DSIG/DT for photon energy 2.07 to 2.17 GeV.

#: data_file: Table6.yaml
#: keyword reactions: GAMMA DEUT --> PHI DEUT
#: keyword observables: DSIG/DT
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: E(P=1) [GEV],,,2.07 TO 2.17
#: RE,,,GAMMA DEUT --> PHI DEUT
#: T-TMIN [GEV**2],T-TMIN [GEV**2] LOW,T-TMIN [GEV**2] HIGH,D(SIG)/D(T-TMIN) [MUB/GEV**2],total +,total -,stat +,stat -
-0.01,-0.02,0.0,0.64,0.18,-0.18,0.07,-0.07
-0.03,-0.04,-0.02,0.44,0.12,-0.12,0.06,-0.06
-0.05,-0.06,-0.04,0.38,0.1,-0.1,0.06,-0.06
-0.07,-0.08,-0.06,0.26,0.11,-0.11,0.05,-0.05
-0.09,-0.1,-0.08,0.32,0.07,-0.07,0.06,-0.06
-0.11,-0.12,-0.1,0.15,0.06,-0.06,0.04,-0.04
-0.13,-0.14,-0.12,0.11,0.05,-0.05,0.04,-0.04
-0.15000000000000002,-0.16,-0.14,0.09,0.05,-0.05,0.04,-0.04
-0.16999999999999998,-0.18,-0.16,0.11,0.05,-0.05,0.05,-0.05
-0.19,-0.2,-0.18,0.04,0.03,-0.03,0.03,-0.03
-0.21000000000000002,-0.22,-0.2,0.04,0.06,-0.06,0.04,-0.04
-0.22999999999999998,-0.24,-0.22,0.07,0.08,-0.08,0.04,-0.04

